full_name,nickname,longitude,latitude,
Hagerstown Hall (Residence Hall),HAG,-76.9474136961276,38.9924384,
Harford Hall (Residence Hall),HRF,-76.9408308448032,38.9824913,
Harrison Lab,HAR,-76.9356386027744,38.98703195,
Health Center,UHC,-76.9447460619769,38.9872158,
Heavy Equipment Building,,-76.9338248720072,38.98591735,
Herbert Wells Ice Rink,,-76.923644,38.97594655,
Holzapfel Hall (Horticulture),HZF,-76.9418893729789,38.98687755,
Hope Lutheran Church,,-76.9440416856427,38.98023825,
Hornbake Library,HBK,-76.9415740921482,38.9881767,
Horse Barn,,-76.9408036631471,38.9916839,
Howard Hall (Residence Hall),HOW,-76.9419727992265,38.98196065,
HVAC Building,,-76.9437313,38.9883195,
Indoor Practice Facility,,-76.9543808895367,38.9896622,
Institute for Physical Science and Technology,IPT,-76.94097235,38.9909191,
Institute for Physical Science and Technology Storage,IPT,-76.941282950122,38.9908276,
Instructional Television Facility,ITV,-76.9383093000325,38.98957525,
J. Logan and Louise Schutz Football Practice Complex,,-76.9441988,38.9902169,
J.H. Kehoe Track and Ludwig Field,,-76.9505711919375,38.9878761,
J.M. Patterson Building,JMP,-76.940295409728,38.9905177,
Jeong H. Kim Engineering Building,KEB,-76.938025589911,38.9909099,
Jimenez Hall,JMZ,-76.94455005,38.9867867,
Jull Hall,JUL,-76.9435848,38.99087705,
Kappa Alpha Fraternity,,-76.936671546034,38.98468565,
Kent Hall (Residence Hall),KNT,-76.9418433747954,38.98324525,
Knight Hall,KNI,-76.9484189,38.98677255,
Laboratory for Physical Sciences,,-76.9439779039198,39.00369935,
Laboratory for Telecommunications Sciences,,-76.943618302473,39.00494075,
Lamda Chi Alpha Fraternity,,-76.9340275582429,38.98394255,
LaPlata Beach,,-76.9449878688894,38.9925556,
LaPlata Hall (Residence Hall),LPA,-76.9458907104711,38.9924497,
LEAFHouse,,-76.9413782929899,38.9996436,
Lee Building,LEE,-76.9395264,38.9853629,
LeFrak Hall,LEF,-76.9436347921034,38.9836849,
Leonardtown Community Center,LCC,-76.9334623293913,38.9833564,
Leonardtown Housing,,-76.9329720567893,38.98288495,
Leonardtown Housing 12,,-76.933234970697,38.98369045,
Leonardtown Housing1,,-76.9334063277435,38.98395015,
Leonardtown Housing10,,-76.9328295569528,38.98259145,
Leonardtown Housing12,,-76.9337842335381,38.9848148,
Leonardtown Housing2,,-76.932084393545,38.9826975,
Leonardtown Housing3,,-76.9332266219975,38.98369225,
Leonardtown Housing4,,-76.9330952978623,38.9842544,
Leonardtown Housing5,,-76.9335417977186,38.98432445,
Leonardtown Housing6,,-76.9333959355818,38.9846063,
Leonardtown Housing7,,-76.9320609074038,38.98295505,
Leonardtown Housing8,,-76.9322669026445,38.98256985,
Leonardtown Housing9,,-76.932593405223,38.98269485,
Leonardtown Office Building,LOB,-76.9324305637608,38.9837051,
Lot,,-76.9466368038263,38.99133375,
Main Administration Building,MAB,-76.93980935,38.9860173,
Manufacturing Building,,-76.9394357215756,38.99286495,
Marie Mount Hall,MMH,-76.94075799224,38.9850013,
Martin Hall,EGR,-76.9379744096244,38.9888688,
Mathematics Building,MTH,-76.9390688130666,38.98862265,
McKeldin Library,MCK,-76.9451004712142,38.98598155,
McKeldin Mall,MKM,-76.9422685216793,38.9859886,
Memorial Chapel,,-76.9408661301378,38.98415015,
Metro Parking Garage,,-76.9275380161511,38.97901515,
MFRI Drill Tower,,-76.9299067182804,38.983559,
MFRI Fire Extinguisher Training Facility,,-76.9287741861655,38.98401155,
MFRI Office/Classroom Building,,-76.9288594688342,38.98332815,
MFRI Structural Firefighting Building,,-76.928304153809,38.98365305,
Microbiology Building,MCB,-76.9434034376443,38.98811525,
Mitchell Building,MIT,-76.9395651325614,38.98670195,
Montgomery Hall (Residence Hall),MNT,-76.9396753369829,38.9820505,
Morrill Hall,MOR,-76.944173786884,38.9843126,
Motor Transportation Facility,,-76.9336288120943,38.98618425,
Motorcycle Storage Building,,-76.9361307352417,38.98564745,
Mowatt Lane Parking Garage,,-76.9455747840072,38.98182585,
Mowatt Lane Substation,,-76.9477371,38.98371275,
Neutral Buoyancy Research Facility,,-76.9389810221139,38.99288895,
NOAA Center for Weather and Climate Prediction,,-76.9247140879834,38.97199165,
